person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q714993,Jean-Noël Jeanneney,رئيس,,Jean-Noël Jeanneney,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-No%C3%ABl%20Jeanneney%20par%20Claude%20Truong-Ngoc%20avril%202014.jpg
http://www.wikidata.org/entity/Q714993,Jean-Noël Jeanneney,رئيس,,Jean-Noël Jeanneney,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-No%C3%ABl%20Jeanneney%20par%20Claude%20Truong-Ngoc%20avril%202014.jpg
http://www.wikidata.org/entity/Q714993,Jean-Noël Jeanneney,رئيس,,Jean-Noël Jeanneney,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-No%C3%ABl%20Jeanneney%20par%20Claude%20Truong-Ngoc%20avril%202014.jpg
http://www.wikidata.org/entity/Q716466,Emilio Azcárraga Jean,رئيس,,Emilio Azcárraga Jean,http://commons.wikimedia.org/wiki/Special:FilePath/Comida%20Inaugural%20de%20Sal%C3%B3n%20de%20Usos%20Multiples%20de%20SITAYR%20%2828856726923%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q725444,Sylvain Lévi,رئيس,,Sylvain Lévi,http://commons.wikimedia.org/wiki/Special:FilePath/1920%20Sylvain%20L%C3%A9vi.jpg
http://www.wikidata.org/entity/Q725444,Sylvain Lévi,رئيس,,Sylvain Lévi,http://commons.wikimedia.org/wiki/Special:FilePath/1920%20Sylvain%20L%C3%A9vi.jpg
http://www.wikidata.org/entity/Q736502,Jean-Pierre Chevènement,رئيس,,Jean-Pierre Chevènement,http://commons.wikimedia.org/wiki/Special:FilePath/2014-07-14%2011-07-47%20defile-militaire-belfort%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q736648,Jean Dutourd,رئيس,,Jean Dutourd,
http://www.wikidata.org/entity/Q761795,Jean-François Mattei,رئيس,,Jean-François Mattei,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Fran%C3%A7ois%20Mattei%20par%20Claude%20Truong-Ngoc%202013.jpg
http://www.wikidata.org/entity/Q764381,Yvon Bourges,رئيس,,Yvon Bourges,http://commons.wikimedia.org/wiki/Special:FilePath/Yvon%20Bourges.jpg
