person,personLabel,arTitle,enTitle,image,source
http://www.wikidata.org/entity/Q307587,عبد الله بن سعود بن عبد العزيز بن محمد آل سعود,عبد الله بن سعود بن عبد العزيز بن محمد آل سعود,Abdullah bin Saud Al Saud,http://commons.wikimedia.org/wiki/Special:FilePath/Abdullah%20I%20of%20Saudi%20Arabia.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q307588,عبد الله بن ثنيان بن إبراهيم آل سعود,عبد الله بن ثنيان بن إبراهيم آل سعود,Abdullah bin Thunayan Al Saud,,GCC_public_figures
http://www.wikidata.org/entity/Q308526,عبد العزيز الغرير,عبد العزيز الغرير,Abdul Aziz Al Ghurair,http://commons.wikimedia.org/wiki/Special:FilePath/Abdulaziz%20Alghurair%20-%20World%20Economic%20Forum%20Annual%20Meeting%20Davos%202009.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q312062,علي الحبسي,علي الحبسي,Ali Al-Habsi,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Al-Habsi%2027-02-2016%201.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q312179,محمد الدعيع,محمد الدعيع,Mohamed Al-Deayea,http://commons.wikimedia.org/wiki/Special:FilePath/Mohamed%20Al-Deayea%202010.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q313661,سعد العبد الله السالم الصباح,سعد العبد الله السالم الصباح,Saad Al-Salim Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/Saad%20Al-Salim%20Al-Sabah.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q1033841,سعاد عبد الله,سعاد عبد الله,Souad Abdullah,http://commons.wikimedia.org/wiki/Special:FilePath/Souad%20Abdullah%202008%20-%202.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q1059948,خليفة بن زايد آل نهيان,خليفة بن زايد آل نهيان,Khalifa bin Zayed Al Nahyan,http://commons.wikimedia.org/wiki/Special:FilePath/Sheikh%20Khalifa.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q1087893,نواف الخالدي,نواف الخالدي,Nawaf Al-Khaldi,,GCC_public_figures
http://www.wikidata.org/entity/Q1089907,علي مبخوت,علي مبخوت,Ali Mabkhout,http://commons.wikimedia.org/wiki/Special:FilePath/Lebanon%20v%20United%20Arab%20Emirates%2C%2016%20November%202021%2032%20%28Ali%20Mabkhout%29.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q1118744,جمال مبارك,جمال مبارك (لاعب كرة قدم),Jamal Mubarak,,GCC_public_figures
http://www.wikidata.org/entity/Q1120791,أسامة هوساوي,أسامة هوساوي,Osama Hawsawi,http://commons.wikimedia.org/wiki/Special:FilePath/Osama%20Hawsawi.jpg,GCC_public_figures
http://www.wikidata.org/entity/Q1137603,فهد العنزي,فهد العنزي,Fahad Al Enezi,,GCC_public_figures
http://www.wikidata.org/entity/Q1138416,حمدان الكمالي,حمدان الكمالي,Hamdan Al-Kamali,,GCC_public_figures
http://www.wikidata.org/entity/Q2426464,علي ثاني جمعة,علي ثاني جمعة,Ali Thani Jumaa,,GCC_public_figures
http://www.wikidata.org/entity/Q2440359,فهد الغشيان,فهد الغشيان,Fahad Al-Ghesheyan,,GCC_public_figures
http://www.wikidata.org/entity/Q2440373,يوسف الثنيان,يوسف الثنيان,Yousuf Al-Thunayan,,GCC_public_figures
http://www.wikidata.org/entity/Q2460829,تركي الثاني بن عبد العزيز آل سعود,تركي الثاني بن عبد العزيز آل سعود,Turki II bin Abdulaziz Al Saud,,GCC_public_figures
