person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q446757,فرحات بن قدارة,,Farhat Bengdara,
http://www.wikidata.org/entity/Q455341,محمد بن نايف بن عبد العزيز آل سعود,محمد بن نايف بن عبد العزيز آل سعود,Muhammad bin Nayef,http://commons.wikimedia.org/wiki/Special:FilePath/Prince%20Mohammed%20bin%20Naif%20bin%20Abdulaziz%202013-01-16.jpg
http://www.wikidata.org/entity/Q459319,ضاحي خلفان تميم,ضاحي خلفان,Dhahi Khalfan Tamim,
http://www.wikidata.org/entity/Q743799,عمر المهنا,عمر المهنا,Omer Al Mehannah,
http://www.wikidata.org/entity/Q745375,فريد علي,فريد علي,Fareed Al-Marzouqi,http://commons.wikimedia.org/wiki/Special:FilePath/Fareed%20Ali.jpg
http://www.wikidata.org/entity/Q746971,جاسم مندي,جاسم مندي,Jassim Mandi,
http://www.wikidata.org/entity/Q754778,سلطان بن محمد القاسمي,سلطان بن محمد القاسمي,Sultan bin Muhammad Al-Qasimi,http://commons.wikimedia.org/wiki/Special:FilePath/Empfang%20f%C3%BCr%20Sheik%20Qasimi%2C%20Sharjah%2C%20im%20K%C3%B6lner%20Rathaus-0198.jpg
http://www.wikidata.org/entity/Q774227,راشد عيسى,راشد عيسى (لاعب كرة قدم),Rashed Eisa,
http://www.wikidata.org/entity/Q776008,ناصر الخليفي,ناصر الخليفي,Nasser Al-Khelaifi,http://commons.wikimedia.org/wiki/Special:FilePath/Nasser%20Al-Khelaifi.jpg
http://www.wikidata.org/entity/Q777993,أبو عمر الكويتي,أبو عمر الكويتي,Abu Omar al-Kuwaiti,
http://www.wikidata.org/entity/Q778771,أحمد الطرابلسي,أحمد الطرابلسي,Ahmed Al-Tarabulsi,
http://www.wikidata.org/entity/Q784872,خالد قهوجي,خالد قهوجي,Khaled Gahwji,
http://www.wikidata.org/entity/Q815255,بلال منصور علي,بلال منصور علي,Belal Mansoor Ali,http://commons.wikimedia.org/wiki/Special:FilePath/WAF%202007%201500m%20Belal%20Mansoor%20Ali.jpg
http://www.wikidata.org/entity/Q840815,محمد بن سليم,محمد بن سليم,Mohammed Ben Sulayem,http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed%20Ben%20Sulayem%202024.jpg
http://www.wikidata.org/entity/Q863577,أحمد فهد الأحمد الصباح,أحمد فهد الأحمد الصباح,Ahmad Al-Fahad Al-Ahmed Al-Sabah,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Al-Fahad%20Al-Ahmed%20Al-Sabah%20in%20Kuwait%20City%20on%20December%2017%2C%202023%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q868801,عمر جمعة السالفة,,Omar Juma Al-Salfa,http://commons.wikimedia.org/wiki/Special:FilePath/Omar%20Jouma%20Bilal%20Al-Salfai%20200%20m%20Berlin%202009%20%28cropped%29.jpg
