person,personLabel,arTitle,image
http://www.wikidata.org/entity/Q57017171,زكريا الهريش,زكريا الهريش,
http://www.wikidata.org/entity/Q62092969,سنوسي الهادي,السنوسي الهادي,
http://www.wikidata.org/entity/Q67203769,صالح الطاهر سعيد,صالح الطاهر سعيد,
http://www.wikidata.org/entity/Q68169137,بدر حسن,بدر حسن,
http://www.wikidata.org/entity/Q95639728,علي معتوق,علي معتوق (لاعب كرة قدم ليبي),
http://www.wikidata.org/entity/Q97279631,سالم بن زابية,سالم بن زابية,http://commons.wikimedia.org/wiki/Special:FilePath/%D8%B3%D8%A7%D9%84%D9%85%20%D8%A8%D9%86%20%D8%B2%D8%A7%D8%A8%D9%8A%D8%A9.jpg
http://www.wikidata.org/entity/Q104184130,مهند مدين,مهند مدين,
http://www.wikidata.org/entity/Q105675518,محمد صولة,محمد صولة,
http://www.wikidata.org/entity/Q106839226,أحمد عزاقة,أحمد عزاقة,
http://www.wikidata.org/entity/Q349896,فيروز,فيروز (ممثلة),
http://www.wikidata.org/entity/Q349896,فيروز,فيروز (ممثلة),
http://www.wikidata.org/entity/Q353690,عادل إمام,عادل إمام,http://commons.wikimedia.org/wiki/Special:FilePath/Adel%20Imam%202009%20cropped.jpg
http://www.wikidata.org/entity/Q358669,إدوار خراط,إدوار خراط,
http://www.wikidata.org/entity/Q401494,أحمد شوبير,أحمد شوبير,
http://www.wikidata.org/entity/Q401494,أحمد شوبير,أحمد شوبير,
http://www.wikidata.org/entity/Q401563,أحمد زكي,أحمد زكي,http://commons.wikimedia.org/wiki/Special:FilePath/Ahmed%20Zaki%20%281979%29.jpg
http://www.wikidata.org/entity/Q401615,أحمد المغربي,أحمد المغربي,
http://www.wikidata.org/entity/Q402194,مصطفى قمر,مصطفى قمر,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D9%82%D9%85%D8%B1-1.png
http://www.wikidata.org/entity/Q402194,مصطفى قمر,مصطفى قمر,http://commons.wikimedia.org/wiki/Special:FilePath/%D9%85%D8%B5%D8%B7%D9%81%D9%89%20%D9%82%D9%85%D8%B1-1.png
http://www.wikidata.org/entity/Q402214,إسماعيل رأفت,إسماعيل رأفت,http://commons.wikimedia.org/wiki/Special:FilePath/Ismail%20Raafat%20%28footballer%29.jpg
http://www.wikidata.org/entity/Q402231,إسماعيل يوسف,إسماعيل يوسف,http://commons.wikimedia.org/wiki/Special:FilePath/Ismail%20Youssef.png
http://www.wikidata.org/entity/Q403476,مصطفى كامل منصور,مصطفى كامل منصور,http://commons.wikimedia.org/wiki/Special:FilePath/Mostafa%20Mansour%20%28footballer%29.jpg
http://www.wikidata.org/entity/Q403535,مصطفى فهمي باشا,مصطفى فهمي باشا,http://commons.wikimedia.org/wiki/Special:FilePath/H.B.%20Moustapha%20Fehmy%20Pasha%2C%20Prime%20Minister%20%281906%29%20-%20TIMEA.jpg
http://www.wikidata.org/entity/Q403629,مصطفى النحاس,مصطفى النحاس,http://commons.wikimedia.org/wiki/Special:FilePath/Elnahas%20basha.jpg
http://www.wikidata.org/entity/Q403740,مصطفى خليل,مصطفى خليل (سياسي),http://commons.wikimedia.org/wiki/Special:FilePath/Mustafa%20Khalil%201992%20Dan%20Hadani%20Archive%20II%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q405451,أيمن نور,أيمن نور,http://commons.wikimedia.org/wiki/Special:FilePath/Ayman%20Noor%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q542257,لطيفة الزيات,لطيفة الزيات,http://commons.wikimedia.org/wiki/Special:FilePath/Latifa%20al-Zayyat.jpg
http://www.wikidata.org/entity/Q547993,قوت القلوب,قوت القلوب (كاتبة),
http://www.wikidata.org/entity/Q548731,بدوي عبد الفتاح,بدوي عبد الفتاح,http://commons.wikimedia.org/wiki/Special:FilePath/Badawi%20Abdel%20Fattah%20%28Tersana%29.jpg
http://www.wikidata.org/entity/Q551779,ألبير قصيري,ألبير قصيري,
http://www.wikidata.org/entity/Q555985,حسام حسن,حسام حسن (لاعب كرة قدم، مواليد 1989),
http://www.wikidata.org/entity/Q557847,قايتباي,قايتباي,http://commons.wikimedia.org/wiki/Special:FilePath/Mamluk%20Sultan%20Kayitbay%20by%20Florentine%20painter%20Cristofano%20dell%27Altissimo%20Galleria%20degli%20Uffizi.jpg
http://www.wikidata.org/entity/Q558157,المنصور حسام الدين لاجين,المنصور حسام الدين لاجين,http://commons.wikimedia.org/wiki/Special:FilePath/Gold%20dinar%20of%20Lajin.jpg
http://www.wikidata.org/entity/Q12243259,مصباح سعد مصباح,مصباح سعد مصباح,
http://www.wikidata.org/entity/Q12243260,مصباح شنقب,مصباح شنقب,
http://www.wikidata.org/entity/Q12245590,منصور احميد البركى,منصور احميد البركى,
http://www.wikidata.org/entity/Q12251017,وسام البودي,وسام البودي,
http://www.wikidata.org/entity/Q15984431,أحمد التربى,أحمد التربى,
http://www.wikidata.org/entity/Q16020923,علي البشاري,علي البشاري,
http://www.wikidata.org/entity/Q16148119,سالم عبلو,سالم عبلو,
http://www.wikidata.org/entity/Q16162200,أحمد بن صويد,أحمد بن صويد,
http://www.wikidata.org/entity/Q16727312,المعتصم بالله المصراتي,المعتصم بالله المصراتي,http://commons.wikimedia.org/wiki/Special:FilePath/Al%20musrati%20asse%20asm%202425.png
http://www.wikidata.org/entity/Q477466,عمرو عزت سلامة,عمرو عزت سلامة,
